score_hint,journal,tier,domain,published,title,biz_hits,doi,url
2,European Journal of Operational Research,ABS4/CCF-B,运营/供应链,2026-7,Media platform competition in the market with advertisement blockers: The value of native advertising strategy,advertis|platform,10.1016/j.ejor.2025.11.012,https://doi.org/10.1016/j.ejor.2025.11.012
2,European Journal of Operational Research,ABS4/CCF-B,运营/供应链,2026-7,The impact of overconfidence and stochastic lead time forecasting on the bullwhip effect,lead time|forecast,10.1016/j.ejor.2025.11.033,https://doi.org/10.1016/j.ejor.2025.11.033
2,IEEE TKDE,CCF-A 期刊,信息系统/电商,2026-9,Behavior-Aware Consistent Distillation for Cold-Start Recommendation,recommend|cold-start,10.1109/tkde.2026.3705082,https://doi.org/10.1109/tkde.2026.3705082
2,IEEE TKDE,CCF-A 期刊,信息系统/电商,2026-9,Efficient Minimum $k$-Truss Search: A Decomposition-Based Approach,search|app,10.1109/tkde.2026.3701433,https://doi.org/10.1109/tkde.2026.3701433
2,IEEE TKDE,CCF-A 期刊,信息系统/电商,2026-9,ANN-Cache: Accelerating Approximate Nearest Neighbor Search via Caching,search|app,10.1109/tkde.2026.3700562,https://doi.org/10.1109/tkde.2026.3700562
2,IEEE TKDE,CCF-A 期刊,信息系统/电商,2026-8,Integrating Entropy Regulation and Dual-Objective Optimization for Personalized Exercise Recommendation,recommend|personaliz,10.1109/tkde.2026.3693866,https://doi.org/10.1109/tkde.2026.3693866
2,IEEE TKDE,CCF-A 期刊,信息系统/电商,2026-8,Learning a Causation-Driven Retrieval Model for Effective Time Series Augmentation and Forecasting,retrieval|forecast,10.1109/tkde.2026.3694186,https://doi.org/10.1109/tkde.2026.3694186
2,IEEE TKDE,CCF-A 期刊,信息系统/电商,2026-8,Reason4Rec: Deliberative User Preference Alignment of Large Language Models for Recommendation,recommend|large language model,10.1109/tkde.2026.3699701,https://doi.org/10.1109/tkde.2026.3699701
2,IEEE TKDE,CCF-A 期刊,信息系统/电商,2026-8,Exploring Backdoor Attack and Defense for LLM-Empowered Recommendations,recommend|llm,10.1109/tkde.2026.3690651,https://doi.org/10.1109/tkde.2026.3690651
2,IEEE TKDE,CCF-A 期刊,信息系统/电商,2026-8,TrustSyn: Augmenting LLMs With Constituency- Structured Dependency Knowledge for Aspect-Based Sentiment Analysis,sentiment|llm,10.1109/tkde.2026.3700652,https://doi.org/10.1109/tkde.2026.3700652
2,IEEE TKDE,CCF-A 期刊,信息系统/电商,2026-7,Soft Labelling for Deep Ordinal Classification: An Experimental Review,experiment|review,10.1109/tkde.2026.3681678,https://doi.org/10.1109/tkde.2026.3681678
2,IEEE TNNLS,CCF-B 期刊,信息系统/电商,2026-9,Rethinking the Utilization of Individual Rewards in Multiagent Reinforcement Learning With Sparse Team Rewards,agent|reinforcement learning,10.1109/tnnls.2026.3658520,https://doi.org/10.1109/tnnls.2026.3658520
2,IEEE TNNLS,CCF-B 期刊,信息系统/电商,2026-9,Fortifying Robustness in Graph Neural Networks: A Loss Correction Approach to Mitigate Label Noise,app|graph neural,10.1109/tnnls.2026.3661886,https://doi.org/10.1109/tnnls.2026.3661886
2,IEEE TNNLS,CCF-B 期刊,信息系统/电商,2026-9,A Deep Learning Approach for Dynamic Modeling of Stimulated Raman Scattering in Chalcogenide Microstructured Optical Fibers,app|deep learning,10.1109/tnnls.2026.3670396,https://doi.org/10.1109/tnnls.2026.3670396
